Codigo,Nombre
11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO
12,DETECCION TEMPRANA DE ENFERMEDAD GENERAL
13,DETECCION TEMPRANA DE ENFERMEDAD LABORAL
14,PROTECCION ESPECIFICA
15,DIAGNOSTICO
16,TRATAMIENTO
17,REHABILITACION
18,PALIACION
19,PLANIFICACION FAMILIAR Y ANTICONCEPCION
20,PROMOCION Y APOYO A LA LACTANCIA MATERNA
21,ATENCION BASICA DE ORIENTACION FAMILIAR
22,ATENCION PARA EL CUIDADO PRECONCEPCIONAL
23,ATENCION PARA EL CUIDADO PRENATAL
24,INTERRUPCION VOLUNTARIA DEL EMBARAZO
25,ATENCION DEL PARTO Y PUERPERIO
26,ATENCION PARA EL CUIDADO DEL RECIEN NACIDO
27,ATENCION PARA EL SEGUIMIENTO DEL RECIEN NACIDO
28,PREPARACION PARA LA MATERNIDAD Y LA PATERNIDAD
29,PROMOCION DE ACTIVIDAD FISICA
30,PROMOCION DE LA CESACION DEL TABAQUISMO
31,PREVENCION DEL CONSUMO DE SUSTANCIAS PSICOACTIVAS
32,PROMOCION DE LA ALIMENTACION SALUDABLE
33,PROMOCION PARA EL EJERCICIO DE LOS DERECHOS SEXUALES Y DERECHOS REPRODUCTIVOS
34,PROMOCION PARA EL DESARROLLO DE HABILIDADES PARA LA VIDA
35,PROMOCION PARA LA CONSTRUCCION DE ESTRATEGIAS DE AFRONTAMIENTO FRENTE A  SUCESOS VITALES
36,PROMOCION DE LA SANA CONVIVENCIA Y EL TEJIDO  SOCIAL
37,PROMOCION DE UN AMBIENTE SEGURO Y DE CUIDADO Y PROTECCION DEL AMBIENTE
38,PROMOCION DEL EMPODERAMIENTO PARA EL EJERCICIO DEL DERECHO A LA SALUD
39,PROMOCION PARA LA ADOPCION DE PRACTICAS DE CRIANZA Y CUIDADO PARA LA SALUD
40,PROMOCION DE LA CAPACIDAD DE LA AGENCIA Y CUIDADO DE LA SALUD
41,DESARROLLO DE HABILIDADES COGNITIVAS
42,INTERVENCION COLECTIVA
43,MODIFICACION DE LA ESTETICA CORPORAL FINES ESTETICOS
44,OTRA