CodigoCUPS,DescripcionCUPS,Grupo,Ruta,CodFinalidad,NombreFinalidad,CodCausa,NombreCausa,CIE10,EdadMin_Meses,EdadMax_Meses,Sexo,Programa,IndicadorRPYMS,FuenteNormativa
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,216,335,A,DETECCION TEMPRANA ALTERACIONES JUVENTUD,RPYMS49X / RPYMS82X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,216,335,A,DETECCION TEMPRANA ALTERACIONES JUVENTUD,RPYMS49X / RPYMS82X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,336,719,A,DETECCION TEMPRANA ALTERACIONES ADULTEZ,RPYMS50X / RPYMS84X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,336,719,A,DETECCION TEMPRANA ALTERACIONES ADULTEZ,RPYMS50X / RPYMS84X,"Res 2275/2023, Res 3280/2018"
890201,CONSULTA DE PRIMERA VEZ POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,720,9999,A,DETECCION TEMPRANA ALTERACIONES VEJEZ,RPYMS51X / RPYMS108X,"Res 2275/2023, Res 3280/2018"
890301,CONSULTA DE CONTROL O SEGUIMIENTO POR MEDICINA GENERAL,MEDICINA GENERAL,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z108,720,9999,A,DETECCION TEMPRANA ALTERACIONES VEJEZ,RPYMS51X / RPYMS108X,"Res 2275/2023, Res 3280/2018"
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,216,335,A,DETECCION TEMPRANA SALUD ORAL JUVENTUD,RPYMS26X / RPYMS27X,"Res 2275/2023, Res 3280/2018"
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,336,719,A,DETECCION TEMPRANA SALUD ORAL ADULTEZ,RPYMS26X / RPYMS28X,"Res 2275/2023, Res 3280/2018"
890203,CONSULTA DE PRIMERA VEZ POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,720,9999,A,DETECCION TEMPRANA SALUD ORAL VEJEZ,RPYMS26X / RPYMS29X,"Res 2275/2023, Res 3280/2018"
890303,CONSULTA DE CONTROL O SEGUIMIENTO POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,216,335,A,DETECCION TEMPRANA SALUD ORAL JUVENTUD,RPYMS26X / RPYMS27X,"Res 2275/2023, Res 3280/2018"
890303,CONSULTA DE CONTROL O SEGUIMIENTO POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,336,719,A,DETECCION TEMPRANA SALUD ORAL ADULTEZ,RPYMS26X / RPYMS28X,"Res 2275/2023, Res 3280/2018"
890303,CONSULTA DE CONTROL O SEGUIMIENTO POR ODONTOLOGIA GENERAL,ODONTOLOGIA,MULTIRUTA,11,VALORACION INTEGRAL PARA LA PROMOCION Y MANTENIMIENTO,40,PROMOCION Y MANTENIMIENTO DE LA SALUD - INTERVENCIONES INDIVIDUALES,Z011,720,9999,A,DETECCION TEMPRANA SALUD ORAL VEJEZ,RPYMS26X / RPYMS29X,"Res 2275/2023, Res 3280/2018"
990101,EDUCACION GRUPAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,216,335,A,EDUCACION GRUPAL JUVENTUD,RPYMS389DX,"Res 2275/2023, Res 3280/2018"
990101,EDUCACION GRUPAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,336,719,A,EDUCACION GRUPAL ADULTEZ,RPYMS389EX,"Res 2275/2023, Res 3280/2018"
990101,EDUCACION GRUPAL EN SALUD POR MEDICINA GENERAL,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,720,9999,A,EDUCACION GRUPAL VEJEZ,RPYMS389FX,"Res 2275/2023, Res 3280/2018"
990104,EDUCACION GRUPAL EN SALUD POR ENFERMERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,216,335,A,EDUCACION GRUPAL JUVENTUD,RPYMS389DX,"Res 2275/2023, Res 3280/2018"
990104,EDUCACION GRUPAL EN SALUD POR ENFERMERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,336,719,A,EDUCACION GRUPAL ADULTEZ,RPYMS389EX,"Res 2275/2023, Res 3280/2018"
990104,EDUCACION GRUPAL EN SALUD POR ENFERMERIA,PROMOCION Y MANTENIMIENTO DE LA SALUD,MULTIRUTA,42,INTERVENCION COLECTIVA,41,INTERVENCION COLECTIVA,Z718,720,9999,A,EDUCACION GRUPAL VEJEZ,RPYMS389FX,"Res 2275/2023, Res 3280/2018"